id;nom;insee;pop_2010;densite_2010;surface;coord1_degree;coord2_degree;coord1_grd;coord2_grd;coord1_dms;coord2_dms
35707;BOISSY-SOUS-SAINT-YON;91085;3731;464;8.04;2.21667;48.55;-141;53951;21234;483322
35708;VILLEBON-SUR-YVETTE;91661;9625;1298;7.41;2.25;48.7;-102;54113;21442;484205
35709;MONNERVILLE;91414;401;48;8.31;2.05;48.35;-324;53719;20240;482049
35710;GIRONVILLE-SUR-ESSONNE;91273;806;61;13.21;2.37806;48.3731;46;53748;22241;482223
35711;SAINT-HILAIRE;91556;380;55;6.79;2.06667;48.4333;-289;53815;20434;482601
35712;EVRY;91228;52135;6258;8.33;2.45;48.6333;119;54038;22639;483802
35713;LEUDEVILLE;91332;1374;175;7.84;2.31667;48.5667;-12;53962;21934;483356
35714;VALPUISEAUX;91629;619;33;18.7;2.31667;48.3833;-36;53771;21813;482338
35715;DOURDAN;91200;9984;325;30.64;2.01667;48.5333;-362;53921;20039;483144
35716;ESTOUCHES;91222;207;34;5.98;2.13333;48.3;-225;53670;20801;481810
35717;DRAVEIL;91201;28491;1808;15.75;2.41667;48.6833;81;54096;22434;484110
35718;MAROLLES-EN-BEAUCE;91374;218;36;6;2.2;48.3667;-151;53750;21201;482230
35719;MENNECY;91386;13395;1207;11.09;2.43333;48.5667;111;53962;22610;483355
35720;GRIGNY;91286;26638;5469;4.87;2.38333;48.65;57;54063;22317;483924
35721;VERT-LE-PETIT;91649;2636;385;6.83;2.36667;48.55;34;53947;22201;483307
35722;ONCY-SUR-ECOLE;91463;958;178;5.37;2.47334;48.3831;152;53759;22824;482259
35723;GUILLERVAL;91294;766;44;17.3;2.1;48.3667;-261;53738;20606;482153
35724;WISSOUS;91689;5805;637;9.11;2.33333;48.7333;-10;54146;21938;484351
35725;VAYRES-SUR-ESSONNE;91639;893;105;8.46;2.35889;48.4328;25;53814;22132;482558
35726;ABBEVILLE-LA-RIVIERE;91001;283;18;15.02;2.16667;48.35;-189;53718;21000;482047
35727;AVRAINVILLE;91041;737;80;9.14;2.25;48.5667;-98;53958;21453;483344
35728;RIS-ORANGIS;91521;27463;3153;8.71;2.41667;48.65;85;54057;22447;483904
35729;BURES-SUR-YVETTE;91122;9535;2286;4.17;2.16667;48.7;-195;54107;20941;484148
35730;PALAISEAU;91477;30285;2631;11.51;2.25;48.7167;-96;54131;21459;484306
35731;ARPAJON;91021;10574;4405;2.4;2.25;48.5833;-99;53989;21452;483525
35732;GUIGNEVILLE-SUR-ESSONNE;91293;926;100;9.19;2.35306;48.4675;18;53853;22111;482803
35733;EPINAY-SUR-ORGE;91216;10104;2275;4.44;2.33333;48.6667;-10;54082;21938;484026
35734;BLANDY;91067;115;14;7.91;2.25833;48.3167;-88;53682;21528;481849
35735;BOUSSY-SAINT-ANTOINE;91097;6292;2169;2.9;2.53333;48.6833;218;54101;23157;484127
35736;VILLABE;91659;4869;1067;4.56;2.45;48.5833;133;53987;22722;483518
35737;LA VILLE-DU-BOIS;91665;7138;1971;3.62;2.26667;48.65;-75;54067;21609;483938
35738;ANGERVILLIERS;91017;1645;182;9.01;2.06667;48.5833;-301;53992;20355;483534
35739;ECHARCON;91204;793;116;6.81;2.4;48.5667;83;53969;22440;483420
35740;ORMOY;91468;1858;988;1.88;2.43333;48.5667;123;53973;22648;483434
35741;CERNY;91129;3294;192;17.13;2.31667;48.4667;-9;53863;21941;482837
35742;VERRIERES-LE-BUISSON;91645;15418;1555;9.91;2.26667;48.75;-82;54164;21546;484451
35743;BOISSY-LE-CUTTE;91080;1324;289;4.58;2.28333;48.4667;-58;53857;21703;482818
35744;CROSNE;91191;9143;3686;2.48;2.45;48.7167;139;54127;22740;484253
35745;MOIGNY-SUR-ECOLE;91408;1302;106;12.23;2.45695;48.4328;134;53814;22725;482558
35746;LONGPONT-SUR-ORGE;91347;6561;1299;5.05;2.28333;48.6333;-50;54048;21730;483834
35747;MONDEVILLE;91412;680;101;6.7;2.41667;48.4833;88;53879;22456;482928
35748;SAINT-MICHEL-SUR-ORGE;91570;20046;3789;5.29;2.3;48.6333;-38;54036;21810;483757
35749;BALLAINVILLIERS;91044;3795;946;4.01;2.28333;48.6667;-45;54084;21747;484031
35750;VILLEJUST;91666;2247;419;5.36;2.23333;48.6833;-111;54092;21411;484057
35751;SAINT-ESCOBILLE;91547;460;38;12;1.96667;48.4333;-412;53811;15756;482547
35752;SAINT-PIERRE-DU-PERRAY;91573;8350;720;11.59;2.5;48.6167;176;54014;22943;483647
35753;MEROBERT;91393;547;51;10.71;2;48.4167;-366;53795;20026;482457
35754;BALLANCOURT-SUR-ESSONNE;91045;7399;654;11.3;2.38556;48.5256;54;53917;22308;483132
35755;MAISSE;91359;2661;123;21.58;2.38333;48.4;44;53772;22234;482341
35756;CHAMARANDE;91132;1091;190;5.74;2.21667;48.5167;-134;53906;21259;483056
35757;MILLY-LA-FORET;91405;4741;140;33.8;2.46667;48.4;145;53782;22801;482415
35758;BREUX-JOUY;91106;1216;259;4.68;2.155;48.5595;-202;53955;20918;483334
35759;LE PLESSIS-PATE;91494;4036;532;7.58;2.31667;48.6167;-8;54016;21945;483650
35760;AUVERS-SAINT-GEORGES;91038;1204;92;12.99;2.23333;48.4833;-130;53880;21309;482933
35761;AUVERNAUX;91037;338;52;6.5;2.48333;48.5333;174;53921;22935;483144
35762;MORSANG-SUR-SEINE;91435;510;116;4.39;2.5;48.5667;173;53968;22933;483416
35763;VIGNEUX-SUR-SEINE;91657;27331;3116;8.77;2.41667;48.7;90;54112;22502;484201
35764;CHAMPCUEIL;91135;2790;170;16.35;2.45;48.5167;123;53906;22648;483055
35765;COURCOURONNES;91182;13812;3160;4.37;2.4;48.6167;78;54020;22425;483705
35766;BOIGNEVILLE;91069;416;26;15.8;2.36667;48.3333;39;53706;22218;482008
35767;ETRECHY;91226;6295;447;14.06;2.2;48.5;-162;53881;21128;482935
35768;AUTHON-LA-PLAINE;91035;360;33;10.59;1.95;48.45;-422;53834;15724;482702
35769;BOISSY-LA-RIVIERE;91079;551;44;12.47;2.15;48.3667;-202;53750;20917;482229
35770;SAINTRY-SUR-SEINE;91577;5093;1548;3.29;2.5;48.6;178;53990;22949;483527
35771;MONTLHERY;91425;6840;2085;3.28;2.26667;48.6333;-71;54043;21620;483819
35772;FLEURY-MEROGIS;91235;9121;1401;6.51;2.36667;48.6333;28;54033;22141;483746
35773;SAINT-SULPICE-DE-FAVIERES;91578;324;74;4.37;2.18333;48.5333;-174;53935;21048;483230
35774;VARENNES-JARCY;91631;2373;433;5.48;2.55972;48.6781;248;54087;23335;484041
35775;VIDELLES;91654;660;75;8.7;2.43333;48.4667;106;53849;22553;482752
35776;QUINCY-SOUS-SENART;91514;8048;1547;5.2;2.53333;48.6667;219;54079;23202;484016
35777;ORVEAU;91473;197;45;4.3;2.28333;48.45;-49;53831;21733;482653
