id;nom;insee;pop_2010;densite_2010;surface;long_deg;lat_deg
347;JASSANS-RIOTTIER;1194;5976;1242;4.81;4.75;45.9833
348;ASNIERES-SUR-SAONE;1023;73;15;4.68;4.88333;46.3833
349;CONDAMINE;1112;404;87;4.64;5.56667;46.1167
350;LHUIS;1216;854;34;24.43;5.53333;45.75
351;ROMANS;1328;587;26;22.32;5.03333;46.1167
352;PIZAY;1297;777;69;11.18;5.08333;45.8833
353;CERTINES;1069;1445;90;15.92;5.26667;46.1333
354;RUFFIEU;1330;202;14;14.03;5.66667;46
355;MEXIMIEUX;1244;7268;528;13.75;5.2;45.9
356;SAINT-RAMBERT-EN-BUGEY;1384;2164;75;28.55;5.43333;45.95
357;AMBRONAY;1007;2362;70;33.55;5.35;46
358;CIZE;1106;170;37;4.52;5.43333;46.2
359;SAINT-GERMAIN-SUR-RENON;1359;236;14;15.8;5.05;46.0833
360;VILLETTE-SUR-AIN;1449;673;34;19.38;5.26862;45.9884
361;DAGNEUX;1142;4099;616;6.65;5.06667;45.85
362;BOISSEY;1050;288;31;9.05;5;46.3833
363;SALAVRE;1391;284;36;7.77;5.35;46.3667
364;BRION;1063;517;115;4.48;5.55251;46.1728
365;LABALME;1200;204;23;8.8;5.48333;46.1
366;SAUVERNY;1397;1078;570;1.89;6.11667;46.3167
367;MONTCEAUX;1258;1164;116;10.03;4.8;46.1
368;BRENOD;1060;544;22;23.79;5.6;46.0667
369;MISERIEUX;1250;1762;237;7.41;4.81667;45.9833
370;PREVESSIN-MOENS;1313;5980;495;12.07;6.08333;46.25
371;LENT;1211;1328;42;31.48;5.2;46.1167
372;MARSONNAS;1236;1005;54;18.38;5.06667;46.3333
373;MANZIAT;1231;1924;152;12.63;4.9;46.35
374;TREVOUX;1427;6730;1178;5.71;4.76667;45.9333
375;BELLEGARDE-SUR-VALSERINE;1033;11790;773;15.25;5.81667;46.1
376;BOURG-EN-BRESSE;1053;40088;1680;23.86;5.21667;46.2
377;CONFORT;1114;525;45;11.66;5.81667;46.15
378;SAINT-DENIS-LES-BOURG;1344;5405;429;12.58;5.2;46.2
379;MASSIGNIEU-DE-RIVES;1239;608;63;9.52;5.76667;45.75
380;SAINT-ETIENNE-SUR-CHALARONNE;1351;1468;69;20.99;4.86667;46.15
381;BOHAS-MEYRIAT-RIGNAT;1245;811;34;23.51;5.4;46.1333
